player_id,source,rank,weight
155,Drafttech,133,1
156,PFF,104,1.2
156,NFL Draft Buzz,123,0.9
156,PFN,124,0.9
156,Drafttech,171,1
157,PFF,150,1.2
157,NFL Draft Buzz,141,0.9
157,Drafttech,118,1
158,PFF,135,1.2
158,NFL Draft Buzz,106,0.9
158,Drafttech,172,1
159,PFF,152,1.2
159,PFN,137,0.9
159,Drafttech,132,1
160,PFF,133,1.2
160,NFL Draft Buzz,147,0.9
161,PFF,266,1.2
161,PFN,80,0.9
161,TANKATHON,92,0.9
161,Drafttech,216,1
161,CBS,58,1
162,PFF,300,1.2
162,PFN,84,0.9
162,Drafttech,140,1
162,CBS,69,1
163,PFF,166,1.2
164,PFF,205,1.2
164,NFL Draft Buzz,143,0.9
164,Drafttech,88,1
165,PFF,139,1.2
165,NFL Draft Buzz,148,0.9
165,TANKATHON,139,0.9
165,Drafttech,128,1
166,PFN,128,0.9
167,NFL Draft Buzz,103,0.9
167,PFN,149,0.9
167,Drafttech,148,1
168,PFF,115,1.2
168,NFL Draft Buzz,160,0.9
168,PFN,125,0.9
168,Drafttech,163,1
169,PFF,178,1.2
169,NFL Draft Buzz,77,0.9
169,PFN,172,0.9
169,Drafttech,153,1
170,PFF,153,1.2
170,NFL Draft Buzz,117,0.9
170,PFN,162,0.9
170,Drafttech,147,1
171,PFN,154,0.9
171,Drafttech,195,1
171,CBS,73,1
172,PFF,194,1.2
172,NFL Draft Buzz,127,0.9
172,Drafttech,139,1
173,PFF,131,1.2
173,NFL Draft Buzz,114,0.9
173,Drafttech,207,1
174,PFF,177,1.2
174,NFL Draft Buzz,168,0.9
174,CBS,109,1
175,PFF,214,1.2
175,NFL Draft Buzz,162,0.9
175,Drafttech,85,1
176,PFN,142,0.9
176,Drafttech,230,1
176,CBS,57,1
177,PFF,212,1.2
177,NFL Draft Buzz,145,0.9
177,Drafttech,107,1
178,PFF,185,1.2
178,NFL Draft Buzz,130,0.9
178,TANKATHON,137,0.9
179,PFF,196,1.2
179,NFL Draft Buzz,139,0.9
179,PFN,131,0.9
179,Drafttech,198,1
179,CBS,92,1
180,PFN,121,0.9
180,Drafttech,167,1
181,PFF,160,1.2
181,PFN,171,0.9
181,TANKATHON,127,0.9
181,Drafttech,234,1
181,Charlie Campbell,58,1
182,PFF,111,1.2
182,PFN,138,0.9
182,Drafttech,210,1
183,PFF,328,1.2
183,PFN,132,0.9
183,TANKATHON,126,0.9
183,Drafttech,149,1
183,CBS,51,1
184,NFL Draft Buzz,217,0.9
184,Charlie Campbell,63,1
185,PFF,222,1.2
185,Drafttech,129,1
186,PFF,359,1.2
186,PFN,104,0.9
186,Drafttech,143,1
186,CBS,72,1
187,PFF,206,1.2
187,NFL Draft Buzz,134,0.9
187,PFN,170,0.9
187,Drafttech,120,1
188,PFF,184,1.2
188,NFL Draft Buzz,144,0.9
188,Drafttech,160,1
189,PFF,164,1.2
189,Drafttech,180,1
190,PFN,144,0.9
191,PFF,264,1.2
191,NFL Draft Buzz,129,0.9
191,Drafttech,119,1
192,PFN,135,0.9
192,Drafttech,175,1
193,PFF,269,1.2
193,PFN,105,0.9
193,Drafttech,151,1
194,PFF,204,1.2
194,NFL Draft Buzz,140,0.9
194,PFN,177,0.9
194,Drafttech,135,1
195,PFF,263,1.2
195,PFN,99,0.9
195,Drafttech,168,1
196,PFF,238,1.2
196,PFN,115,0.9
196,Drafttech,173,1
197,PFF,232,1.2
197,NFL Draft Buzz,142,0.9
197,TANKATHON,118,0.9
197,Drafttech,184,1
198,PFF,198,1.2
198,Drafttech,169,1
199,NFL Draft Buzz,152,0.9
200,PFF,241,1.2
200,Drafttech,137,1
201,PFF,174,1.2
201,PFN,166,0.9
201,Drafttech,178,1
202,Drafttech,227,1
202,CBS,112,1
203,PFF,284,1.2
203,Drafttech,103,1
204,PFF,170,1.2
204,PFN,77,0.9
204,Drafttech,284,1
205,PFF,188,1.2
205,PFN,157,0.9
